group_type,group_value,signal,unit,row_count,non_null_count,missing_count,missing_rate,mean,std,min,p1,p5,p50,p95,p99,max
operating_state,engine_off,ambient_temp,°C,8775,8759,16,0.0018233618233618233,13.665601096015527,10.264628000531397,-12.0,-8.0,-5.0,18.0,25.0,31.0,31.0
operating_state,engine_off,accel_pedal_d,%,8775,8757,18,0.0020512820512820513,14.273678200296903,2.365346332733195,14.1,14.1,14.1,14.1,14.5,19.376000000000204,85.1
operating_state,engine_off,accel_pedal_e,%,8775,8750,25,0.002849002849002849,14.646457142857143,2.321419126512044,14.1,14.5,14.5,14.5,14.5,19.2,84.3
operating_state,post_warmup__acceleration,coolant_temp,°C,31851,31851,0,0.0,89.44347116260086,3.1114563709202354,74.0,76.0,83.0,90.0,92.0,97.0,102.0
operating_state,post_warmup__acceleration,map,kPa,31851,31851,0,0.0,124.77947317195692,24.282110281748626,36.0,95.0,100.0,117.0,177.0,200.0,235.0
operating_state,post_warmup__acceleration,rpm,rpm,31851,31851,0,0.0,1496.3090954758093,320.8635600600551,52.0,848.5,911.0,1523.0,1986.0,2204.0,2842.0
operating_state,post_warmup__acceleration,speed,km/h,31851,31851,0,0.0,46.306677969294526,28.768056575100662,0.0,0.0,6.0,42.0,96.0,106.0,115.0
operating_state,post_warmup__acceleration,intake_temp,°C,31851,31851,0,0.0,20.869533138676964,14.480892076128983,-31.0,-8.0,-2.0,23.0,41.0,51.0,150.0
operating_state,post_warmup__acceleration,maf,g/s,31851,31851,0,0.0,20.010370004081505,9.816293502200026,0.0,7.69,8.49,17.94,38.505,53.005,106.24
operating_state,post_warmup__acceleration,tps,%,31851,31850,1,3.139618850271577e-05,80.88038932496076,11.238277283314442,13.7,28.6,65.1,83.5,83.5,83.5,89.0
operating_state,post_warmup__acceleration,ambient_temp,°C,31851,31848,3,9.418856550814731e-05,11.706386586284854,10.960846318010512,-14.0,-11.0,-7.0,15.0,25.0,32.0,33.0
operating_state,post_warmup__acceleration,accel_pedal_d,%,31851,31850,1,3.139618850271577e-05,28.310596546310833,11.820988132196893,14.1,14.1,14.1,28.2,47.5,53.7,78.4
operating_state,post_warmup__acceleration,accel_pedal_e,%,31851,31850,1,3.139618850271577e-05,28.616722135007848,11.97989174949353,14.1,14.1,14.5,28.2,48.2,54.1,77.6
operating_state,post_warmup__deceleration,coolant_temp,°C,51981,51981,0,0.0,89.67518901136954,2.6699916031673747,75.0,77.0,84.0,90.0,92.0,95.0,102.0
operating_state,post_warmup__deceleration,map,kPa,51981,51981,0,0.0,114.27288817067775,17.911589813845783,36.0,73.0,100.0,111.0,146.0,188.0,230.0
operating_state,post_warmup__deceleration,rpm,rpm,51981,51981,0,0.0,1475.3929512706566,459.00479571877116,50.0,768.0,884.0,1480.0,2219.0,2694.0,4315.0
operating_state,post_warmup__deceleration,speed,km/h,51981,51981,0,0.0,62.43188857467151,42.55317523087645,0.0,0.0,3.0,59.0,129.0,160.0,211.0
operating_state,post_warmup__deceleration,intake_temp,°C,51981,51981,0,0.0,17.77034878128547,12.596585517138553,-33.0,-9.0,-3.0,20.0,35.0,42.0,102.0
operating_state,post_warmup__deceleration,maf,g/s,51981,51981,0,0.0,20.373251380312038,11.844374185972589,0.0,6.88,7.83,17.97,41.61,58.74,112.24
operating_state,post_warmup__deceleration,tps,%,51981,51981,0,0.0,81.31950712760431,10.919236689976973,13.7,24.3,83.1,83.5,83.5,83.5,83.5
operating_state,post_warmup__deceleration,ambient_temp,°C,51981,51980,1,1.923779842634809e-05,11.421181223547519,11.128840696131098,-14.0,-11.0,-7.0,14.0,25.0,31.0,33.0
operating_state,post_warmup__deceleration,accel_pedal_d,%,51981,51981,0,0.0,18.224539735672646,8.538585977922205,14.1,14.1,14.1,14.1,39.2,49.4,77.6
operating_state,post_warmup__deceleration,accel_pedal_e,%,51981,51981,0,0.0,18.523429714703447,8.54297746265791,14.1,14.1,14.5,14.5,39.6,49.8,77.3
operating_state,post_warmup__high_load,coolant_temp,°C,23166,23166,0,0.0,90.14089614089615,2.245460826459661,74.0,78.0,88.0,90.0,92.0,94.0,100.0
operating_state,post_warmup__high_load,map,kPa,23166,23166,0,0.0,180.82107398774065,36.82107603639895,64.0,98.0,114.0,188.0,229.0,232.0,247.0
operating_state,post_warmup__high_load,rpm,rpm,23166,23166,0,0.0,2110.527540360874,402.7299479861561,141.0,1143.3,1542.25,2086.0,2898.0,3283.3499999999985,3788.0
operating_state,post_warmup__high_load,speed,km/h,23166,23166,0,0.0,115.42711301044635,36.36633000648013,0.0,9.0,32.0,122.0,171.0,194.0,218.0
operating_state,post_warmup__high_load,intake_temp,°C,23166,23166,0,0.0,18.941444358111024,13.348046126245523,-28.0,-5.0,-2.0,21.0,36.0,45.0,140.0
operating_state,post_warmup__high_load,maf,g/s,23166,23166,0,0.0,52.38028144694812,23.489907485343036,0.0,13.44,20.27,47.94,97.85249999999999,113.26099999999991,129.22
operating_state,post_warmup__high_load,tps,%,23166,23166,0,0.0,81.32740654407321,10.055587031369287,24.3,31.0,82.0,83.5,83.5,83.5,89.0
operating_state,post_warmup__high_load,ambient_temp,°C,23166,23164,2,8.6333419666753e-05,11.769901571403903,11.542143086083511,-13.0,-10.0,-7.0,15.0,29.0,32.0,33.0
operating_state,post_warmup__high_load,accel_pedal_d,%,23166,23166,0,0.0,35.75595700595701,21.898877827775305,14.1,14.1,14.1,36.5,77.6,78.4,85.1
operating_state,post_warmup__high_load,accel_pedal_e,%,23166,23166,0,0.0,36.14691358024692,21.813531914560897,14.1,14.1,14.5,36.9,77.3,77.6,84.3
operating_state,post_warmup__idle,coolant_temp,°C,8689,8689,0,0.0,89.73357118195419,3.260876002356141,75.0,77.0,84.0,90.0,94.0,99.0,103.0
operating_state,post_warmup__idle,map,kPa,8689,8689,0,0.0,99.66302221199217,9.842938599151001,36.0,40.0,97.0,101.0,106.0,112.0,197.0
operating_state,post_warmup__idle,rpm,rpm,8689,8689,0,0.0,821.9254229485556,144.36223322730433,50.0,318.0,766.0,770.0,992.6000000000004,1354.0800000000072,2139.0
operating_state,post_warmup__idle,speed,km/h,8689,8689,0,0.0,0.403498676487513,2.312721385556277,0.0,0.0,0.0,0.0,1.0,15.0,36.0
operating_state,post_warmup__idle,intake_temp,°C,8689,8689,0,0.0,23.013120036828173,14.398348618717002,-26.0,-7.0,1.0,24.0,42.0,63.1200000000008,147.0
operating_state,post_warmup__idle,maf,g/s,8689,8689,0,0.0,7.6061767752330525,2.447096956932654,0.0,0.0,6.66,7.11,9.482000000000008,18.0000000000002,51.08
operating_state,post_warmup__idle,tps,%,8689,8689,0,0.0,80.42963517090575,13.586845511926258,13.7,13.7,83.1,83.5,83.5,83.5,89.0
operating_state,post_warmup__idle,ambient_temp,°C,8689,8689,0,0.0,12.968811140522499,10.411207857802365,-12.0,-7.0,-5.0,18.0,25.0,29.0,32.0
operating_state,post_warmup__idle,accel_pedal_d,%,8689,8687,2,0.00023017608470479918,14.724807183147231,2.59017485170015,14.1,14.1,14.1,14.1,17.6,25.5,54.5
operating_state,post_warmup__idle,accel_pedal_e,%,8689,8688,1,0.00011508804235239959,15.005225598526703,2.639497362898322,14.1,14.1,14.5,14.5,17.159999999999854,26.3,54.5
operating_state,post_warmup__steady_driving,coolant_temp,°C,78707,78707,0,0.0,89.73959114182982,2.5308672025267254,74.0,78.0,85.0,90.0,92.0,94.0,102.0
operating_state,post_warmup__steady_driving,map,kPa,78707,78707,0,0.0,130.89383409353678,27.194253380816978,36.0,96.0,101.0,124.0,188.0,204.0,235.0
operating_state,post_warmup__steady_driving,rpm,rpm,78707,78707,0,0.0,1693.7693089560014,358.1859396122952,124.0,876.0,913.0,1729.0,2161.0,2210.0,2842.0
operating_state,post_warmup__steady_driving,speed,km/h,78707,78707,0,0.0,86.07028599743352,36.9325593508778,0.0,1.0,10.0,93.0,127.0,130.0,142.0
operating_state,post_warmup__steady_driving,intake_temp,°C,78707,78707,0,0.0,17.47880112315296,12.256971918205958,-37.0,-7.0,-3.0,20.0,34.0,41.0,150.0
operating_state,post_warmup__steady_driving,maf,g/s,78707,78707,0,0.0,23.700942546406292,11.60119625621783,0.0,7.8,8.33,21.72,45.88,58.21820000000007,82.27
operating_state,post_warmup__steady_driving,tps,%,78707,78707,0,0.0,81.2685987269239,10.6794329642259,13.7,27.5,83.1,83.5,83.5,83.5,89.0
operating_state,post_warmup__steady_driving,ambient_temp,°C,78707,78667,40,0.0005082140089191559,11.072546302769904,11.294441047451329,-14.0,-12.0,-7.0,14.0,26.0,30.0,33.0
operating_state,post_warmup__steady_driving,accel_pedal_d,%,78707,78707,0,0.0,18.223682137548117,8.559226063229087,14.1,14.1,14.1,14.1,39.2,48.2,77.6
operating_state,post_warmup__steady_driving,accel_pedal_e,%,78707,78707,0,0.0,18.54073271754736,8.56056831814714,14.1,14.1,14.5,14.5,39.6,48.6,77.3
operating_state,unknown,coolant_temp,°C,11,10,1,0.09090909090909091,32.3,15.290156601189175,14.0,14.18,14.9,31.0,58.149999999999984,62.83,64.0
operating_state,unknown,map,kPa,11,8,3,0.2727272727272727,98.25,3.011881234615431,95.0,95.07,95.35,97.5,102.95,103.78999999999999,104.0
operating_state,unknown,rpm,rpm,11,4,7,0.6363636363636364,916.5,87.960218280766,835.0,836.26,841.3,896.0,1020.4,1035.28,1039.0
operating_state,unknown,speed,km/h,11,1,10,0.9090909090909091,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
operating_state,unknown,intake_temp,°C,11,1,10,0.9090909090909091,-8.0,,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
